번호,제목,평점,평가
15911331,라이온 킹,10,"표정연기가 없어도 몸짓과 목소리 느낌으로 커버 가능..원작애니보다 29분 추가돼서 지루한 감이 있다는 사람들이 있던데.. 오히려 진행이 매끄러워져서(스카의 왕 노릇, 날라의 탈출 등등) 좋았음+비욘세 누나 소울 지림..."
15911330,라이온 킹,8,날라목소리가 40대 느낌?심바는젊은목소린데ㅋㅋㅋ노래는기교범벅비욘세가 노래잘하는건 아는데  어울리지않았음
15911329,알라딘,10,스크롤 끝날때까지 앉아있었어요 감동적인영화
15911328,라이온 킹,10,애니메이션도 좋지만 실사도 좋았어요!
15911326,토이 스토리 4,10,토이스토리를 드디어 극장에서 봤다!..! 사랑해 나의 작은 장난감들아
15911325,타인의 삶,10,곱씹을수록 깊은맛이 나는 영화
15911324,라이온 킹,10,소리만 빼고 보면 다큐멘터리 같았지만 재밌었어요
15911323,라이온 킹,10,즐겁게 보기 좋아요 굿입니다
15911320,스파이더맨: 파 프롬 홈,10,정말 정말 재미있었어요~
15911317,토이 스토리 4,8,점점 여자 캐릭터들에게 힘을 실어주는 디즈니에게 박수~!
15911316,라이온 킹,10,첨부터 끝까지 최고였고 음악 나올땐 온 몸에 소름 돋음;;
15911315,라이온 킹,10,추억의 라이온킹 ㅜㅜ 보면서 어릴적 생각ㅇ
15911314,라이온 킹,6,애니매이션 보러갔는데 다큐 였다
15911313,알라딘,10,재밌게 보긴 했지만 윌스미스보단 로빈윌리엄스에게 한표... 자꾸 떠오르는 맛깔나는 로빈윌리엄스의 목소리...
15911312,노무현과 바보들,5,사람만좋으면뭐하냐 사상이잘못돼서 경제조지고 국방조지고 주적한테돈퍼주고 문재앙이랑다를게없는데
15911311,김군,10,너무 좋았어요 꼭 한번 봐야하는영화
15911310,스파이더맨: 파 프롬 홈,2,장난하냐 ㅠㅡㅠ 내스파이더맨
15911308,진범,7,"송새벽 목소리 집중이 안되었고, 두번째는 제작비 겁나 아낀게 느껴진당.."
15911307,미드소마,1,가족의 죽음에 괴로워하던 여성이 아름다운 꽃들이 펼쳐진 들판과 여행객들을 반겨주는 친절한 마을주민들과 만나 벌어지는 좌충우돌 러브코미디 힐링영화 꼭 가족과 함께보세요!!
15911306,존 윅 3: 파라벨룸,7,asdadfgwdqfq
15911305,기생충,10,꾸역 꾸역 천만영화를 향하여
15911304,아이언맨,8,전혀 옛날 영화같지 않다.
15911303,라이온 킹,10,한 컷 한 컷 넘  잼났어요  기분 좋아지는  영화^^
15911302,라이온 킹,10,난 너무 좋았는데ㅠ 옛날 생각나서 너무 좋았어...
15911301,기생충,8,봉준호 버프빼고..펑점4점!
15911300,애나벨 집으로,6,공포영화인데 안 무서움
15911299,스파이더맨: 파 프롬 홈,8,적당히 재밌게 봤습니다.
15911298,라이온 킹,6,어렸을 적에 갔던 놀이공원을 다시 찾아갔더니 너무 설레고 좋은데 막상 들어가보니 왠지 옛날보다는 못한 그런 기분?
15911296,스파이더맨: 파 프롬 홈,10,영화를 아쉽게 본건 이해하는데 그렇다고 재미있게 본 사람들 이해못한다고 하는건 좀 그르네여
15911293,스파이더맨: 파 프롬 홈,10,"어린 피터가 히어로와 일상 속에서 겪는 딜레마를 정말 잘표현, 토니에 대한 그리움 그리고 토니의 피터사랑을 너무나 잘 표현한 영화라고 생각합니다"
15911292,알라딘,10,정말개꿍잼입니다ㅎㄹ
15911291,라이온 킹,6,중간에 미녀와야수 패러디는 살짝 재밌었음 ㅋ.. 디즈니빠는 원작에게 한표를 던질 수 밖에...
15911290,라이온 킹,10,애니메이션을 기대하고 보면 안된다.오히려 알아보기 힘들었던 주인공들의 표정들 속에서 희미하게 느껴졌던 감정과 미세한 눈빛의 흔들림이 내 마음을 더 흔들었다. 최고...
15911289,나이트메어 시네마,1,와우 우리조카꿈인데 바꿔야할듯
15911288,라이온 킹,1,존파브로는 정글북 부터 맘에 안들었다.
15911287,어벤져스: 인피니티 워,8,마블 특유의 와리가리 액션과 대서사시를 위한 도약에서의 전율! 유머는 빼고 가는게 맞다.
15911286,라이온 킹,6,한편의 동물의 왕국 뮤지컬 버젼을 본 느낌이다
15911285,토이 스토리 4,10,우디.. 이제 보내줄게 행복해
15911284,캡틴 마블,7,영화는 페미가 아닌데 배우가 페미를 자칭해서 문제가 된거다. 그리고 솔직히 캡틴마블 엔드게임에서 한거 별로 없음 ㅋㅋ
15911283,라이온 킹,4,라이온킹..뭐야 돌려줘요...적당히 만들지 너무 잘만들어서 문제..지독한 원리원칙주의자가 한치의 오차도 없이 만들어 낸 2시간짜리 내셔널지오그래픽
15911282,알라딘,10,너무재밌었던것같아요^^윌스미스가 진짜 캐리한것같아요 노래도 다 좋고><
15911281,라이온 킹,10,기다릴수가 없어서 조조로 보고 옴... 애니메이션의 몇몇 장면들을 어떻게 실사화 할지 궁금했었는데 역시 디즈니가 디즈니 했다는 말밖에 안나오고 노래는 여전히 소름돋았다.
15911280,라이온 킹,9,"사실 내용은 어릴때 보던내용이라 다음내용이 궁금하진 않았으나, 그래픽이 정말 실제와 같았고 OST가 좋았습니다."
15911279,존 윅 3: 파라벨룸,6,액션씬에 왜뽕 들었는지 칼싸움이 왤케 많나 총격씬이나 넣지 몸싸움이나 칼싸움은 좀 둔해보여
15911278,라이온 킹,8,심바가 너무 귀여워서 캐리함
15911277,라이온 킹,10,부족한 부분 1도 없이 너무 좋았어요.한달전 세렝게티 다녀왔는데 정말 세렝게티 모습보는듯했어요!!! 영화끝나고 박수치고 나왔습니다!!
15911276,롱 리브 더 킹: 목포 영웅,10,"관객수가 아쉬운 영화,,"
15911274,그린 북,10,"얼마전 페이스북에서 한국에서 유학중인 블랙아메리카노가 한국인들에게 실험영상을찍은걸봤다 한국인들에게 흑형, 흑누나,깜둥이가무슨뜻인지 물어보는 ㅠㅠ어제 이 영화를보고 다시한번 인종차별의 부끄러움이밀려온다 영화 ""헬프""이후에"
15911273,라이온 킹,1,뭐랄까 진부하고 지루했고 뻔했다
15911272,나이트메어 시네마,1,별 반도 아깝네 이걸 영화라고 만들었냐?
15911270,라이온 킹,10,티몬과품바때문에 중간중간 사람들 다터짐니다 ㅋㅋㅋ이번영화는 심바보다 품바가 인상깊었습니다..
15911269,타이타닉 2,10,223223223223
15911268,라이온 킹,10,"아니 이정도면 만족 해야 되는거 아냐?..표정 없다는데 슬픈장면에서 충분히 슬프고웃긴장면에서 다들 엄청 빵빵 터집니다음악은 말할거 없고 스케일,실사의 생생함그냥 기대 다 충족 시켰는데?.."
15911267,스파이더맨: 파 프롬 홈,9,톰홀랜드에게 관심을 가지게해준 영화 잘생기고 멋있네요cg의 기술은 어디까지인가 마블영화 넘 좋아요
15911266,라이온 킹,6,영화는 훌륭하였으나 음악이 정말 너무 심하게 아쉽다. 맛있는 라면을 먹을려고 하는데 물조절 실패한 느낌
15911265,취화선,9,장면 한장면 한장면에 심혈을 기울인 수작이다.
15911264,라이온 킹,10,라이온킹 보고 울었어요.
15911262,라이온 킹,6,많이 아쉬움 . 20년전에 만화 안보고 보았다면 어땠을까 생각하며.
15911261,라이온 킹,10,개인적으로 알라딘보다 더 좋았습니다. ♡
15911260,악인전,10,견찰이 왜 견찰인지 잘표현해주셨습니다.
15911259,라이온 킹,6,알라딘 실사화 걱정했다가 재밌게봐서 이것도 기대했는데 알라딘이 잘한건지 이 영화가 못한건지.. 실망스럽다ㅠ
15911258,어벤져스: 엔드게임,10,어벤져스 엔드게임 10번넘게 봤는데 볼떄마다 소름돋네요 ㅠㅠㅠ
15911257,라이온 킹,1,암사자 대여섯마리 데리고 서로 왕이라고 싸우는 개그다큐
15911256,토이 스토리 4,10,보의 방구뀌는 장면이 인상적
15911255,모아나,10,영상미가 너무너무 아름답다 스토리도 탄탄하고 감동적이다 모아나 최고 ㅜㅜ
15911254,라이온 킹,10,감동적이고 연기는 전혀 어색하지 않다
15911253,라이온 킹,8,실사 재현은 정말 좋았는데 심바 스카 격투신이나 날라 사라비 등 암사자들은 분간이 잘 되지않은점이 아쉬웠네요 그래도 정말 가슴 벅차는 영화였습니다!
15911252,마약왕,8,머야..넷플릭스에서 보고왓는데 볼만하던데..댓글이랑 평점보고 극장에서안보다가 오늘봣는데 볼만하던디 대사가 좀 잘 안들리던거빼곤 킬링타임으로도 괜찮음
15911251,진범,8,저예산으로 잘 만들어냈네
15911250,라이온 킹,6,"진짜로 카메라를 들고 아프리카에서 찍어온듯한 실사화 기술은 매 장면마다 놀라웠다. 그러나 그 뿐.애니메이션 라이언킹은 위기의 시절 디즈니를 구해낸 명작이었지만, 당시 실사화 버전으로 나왔다면 그렇게까지 성공했을까? 기대가 커서 그런가, 실망스럽다."
15911248,라이온 킹,10,큰 거부감 없이 잘 봤음 불편러들 무시하고 보면 재밌게 볼 수있을 영화임
15911247,라이온 킹,10,원작 애니는 원래 명작이고 다큐라고 까기도 하지만 저런식으로라도 어릴적  추억을 색다른 방식으로 볼수있는거만으로도 만점 주고싶다
15911246,택시 4,8,볼만함 전투씬은 별로지만 유머코드로 보시길
15911245,사일런스,1,가족도 허무하게 죽고 사이비도 허무하게 죽고 괴물도 허무하게 죽고 영화도 허무하게 죽고 내 돈도 허무하게 죽고 나 시간도 허무하게 죽고 죽고싶다
15911244,라이온 킹,10,"아름다운 음악. 경이로운 연출. 원작이 대작인만큼 쉽지않았을 실사화, 도전만으로도 아름답다."
15911243,라이온 킹,1,친구 졸라서 친구 월차내고 같이 봤는데 미안했습니다 -_- 개연성 0 ㅠㅠㅜㅜ (용산 아이맥스 3D)
15911242,택시 5,1,1점도아까움 12312321123123
15911241,라이온 킹,10,진짜 존잼 말이 필요 없다
15911240,라이온 킹,5,원작이 더 나은듯합니다
15911239,미드소마,8,"기대안하고 봤는데,유전보다 재밌음.감독은 지적인변태! 총각들한테는비추함.영화보고 섹스트라우마 생길듯..."
15911238,미드소마,10,"정신병 생길고가태 ,,,,"
15911237,라이온 킹,4,CG는 쩐다. 하지만 네셔널지오그래픽이 더 쩐다.
15911236,스파이더맨: 파 프롬 홈,8,볼만하네요 추천할정도
15911235,라이온 킹,10,잼쑴 꼭보세여 ㅎㅎㅎ ㅎ
15911233,라이온 킹,10,라이온킹 2탄 실화 기대합니다 언제 개봉 하나요
15911232,라이온 킹,10,이게 왜 10점이 아닌가요 진심으로 최고인데
15911231,라이온 킹,8,오프닝 곡은 확실히 예전 노래가 좋아요 ㅜㅜ적응안되는 부분 있어도 추천 :)어릴때 본거 30대에 본건데 아가들이 보기엔 좀 무서워하지 않을까 싶기도 ..
15911230,라이온 킹,10,만점 넘좋다! 비욘세 하드캐리!
15911228,토이 스토리 4,10,역시 픽사^^ !!!!
15911227,스파이더맨: 파 프롬 홈,10,저번이랑은 차원이 다른..cg개미쳤어
15911226,라이온 킹,7,너무 실사라서 동물의 왕국보는줄 ...ㅋ
15911225,콰이어트 플레이스,10,사일런스보고 짜증나서옴
15911224,스파이더맨: 파 프롬 홈,8,무난합니다. 마블이라서 기대하기엔 좀 유치하고. 기대안하면 무난하게 볼만함. 개인적으로 마블영화중에는 하위권. 캡틴마블보단 낫네요.
15911223,마마,2,엔딩 개 잣 같네 열자열자
15911221,라이온 킹,10,심바의 연기가 돋보인 영화엿다
15911219,라이온 킹,10,매우 재미있게 봄. 한편의 이야기가 있는 다큐멘터리를 본 느낌 그만큼 cg가 완벽했음 동물데려다가 찍은 느낌이었음 몰입도 잘됐음 아기사자 아기치타 아기멧돼지 이름은모르겠는데 작고 눈빨간동물 다 귀여웠음 티몬과품바 엄청엄청 웃김 ost도 완벽!
15911218,조,10,her 이후로 최강이다. 진짜 잘 만들었네
15911217,라이온 킹,8,사실적인 구현과 Circle of life 때문에 충분히 볼 가치가 있음.. Circle of life는 디즈니 최고의 주제가 같음.
15911216,라이온 킹,10,2시간동안 20년 전의 나로 돌아갈 수 있어 최고였다.
15911214,어벤져스: 엔드게임,10,좋앗어 아주좋아서 엔드일만햇어
15911212,보물성,10,어릴때 dvd로 질릴 때까지 봤었는데 오랜만에 다시 보니까 진짜 재밌네요
15911211,알라딘,10,OST가 너무 좋아요 자스민공주의 노래부르는 장면 계속 생각나네요
15911210,라이온 킹,6,너무 기대를했었나 봅니다애니메이션이 더 나은듯하네요
15911209,워크 투 리멤버,10,내인생 최고의 멜로영화 베스트 3워크투리멤버 노트북 이프온리
15911208,라이온 킹,8,CG면에서 엄청 고퀄이지만 원래 애니메이션처럼 과장된 표현이 없다는게 아쉬웠다. 확실히 애니메이션과 실사의 차이를 잘 알거같은 느낌? 음악이 나오는 부분도 알라딘만큼 신나게 표현하지 못한부분이 아쉽다.  결과적으로   2D애니메이션이 승.
15911207,라이온 킹,5,CG빼고 다 별로 몰입감 전혀없고 재미도 없다..
15911206,라이온 킹,1,"역시 해외 로튼토마토 평점이 맞았네... 지루하고, 뻔해서 실망스러운... 미국에서도 악평...ㅠㅠ"
15911205,라이온 킹,10,정말 최고라는 말밖에는
15911204,우리도 사랑일까,10,새것도 언젠가는 헌것이 된다.
15911203,다크 나이트,10,지금 마블이 압도적이지만 이영화를 따라올 마블히어로영화는 없을것이다.
15911202,라이온 킹,8,생동감 있었고 사운드도 괜찮았다
15911201,라이온 킹,10,어릴때 봤던 감동이 그대로 전해지네요 잘봤습니다
15911200,캡틴 마블,10,재밌게 봤어용 고양이 짱쎔 ㄷㄷ
15911199,라이온 킹,10,극장에서 꼭 봐야할 영화
15911198,라이온 킹,10,디즈니 세대라면 무슨 일이 있어도 봐야 됨
15911197,라이온 킹,9,잼밌게 봤어요! 굿!~~~
15911195,라이온 킹,10,황홍함 그 자체였습니다
15911194,라이온 킹,10,알라딘이 실사화의 끝판왕인줄 알았는데 라이온 킹이 짱이네;
15911193,프로디지,4,어디에 초점을 둬야 할지를 모르고 만든 영화
15911191,라이온 킹,10,꿀잼 색감도좋고 노래도좋고 배우도 좋고 다 좋은 영화다ㅠㅠ
15911190,라이온 킹,2,동물의왕국 다큐멘터리에 신파 잘보고 나왔습니다
15911189,스파이더맨: 파 프롬 홈,10,하이틴 무비같고 사랑스럽고 액션도 재밌었어요~
15911188,라이온 킹,9,에니매이션 의  감동이 그대로  실사도 봐줄만합니다
15911187,롱 리브 더 킹: 목포 영웅,1,핵노잼 목포사람이라 더 재밌을줄 알았는데 보는 내내 나가고싶었음
15911185,라이온 킹,10,진짜 생각한 것 보다 더 재미 있었어요
15911184,라이온 킹,8,쓰리디 애니메이션으로 나오는게 나았을듯...
15911183,라이온 킹,10,이건 진짜 두번 봐도 재밌을 영화임
15911182,라이온 킹,9,뭐랄까 애니의 맛을 제대로 못 살린 느낌... 스카입속에서 튀어나오는 자주라던지 스카가 하이에나들하고 거래하는 장면같은 경우는 애니가 더 맛깔난다고 해야되나.. 미녀와야수 알라딘에 비하면 좀 아쉬운 수준
15911181,라이온 킹,10,디즈니 영화의 OST는 정말 언제 들어도 좋다ㅠ
15911179,라이온 킹,10,감동은 그대로네요♥♥♥
15911178,비스트,2,저런 좋은 배우들을 가지고도 이야기 자체가 너무 답이 없다보니 도무지 시간이 가면 갈수록 몰입도는 떨어지고 지루해지기만 한다. 역시나 망하는 영화는 다 이유가 있는 법이지...
15911177,라이온 킹,10,이정도면 진짜 최고지 ㅋㅋ
15911176,비스트,6,괜찮은 스토리에 훌륭한 배우들의 연기. 그러나 감독의 역량 부족.
15911175,라이온 킹,10,ㅈㄴ재밌는데 왜 재미없다하지
15911174,라이온 킹,10,몰입도 장난 아니네요..
15911173,라이온 킹,10,애니메이션 실사화인데 애니메이션을 못 살렸다는 건 무슨 평인지.. 실사화를 너무 완벽하게 했다고 별을 깎을 순 없잖아 이건 이것 대로의 맛이 있음
15911172,비스트,1,이런 영화는 왜 만드는지 모르겟네..
15911170,고스트 스토리,10,"덩그러니, 그렇게 남겨졌다"
15911168,라이온 킹,6,뮤지컬의 감동만큼은 아니었음... 기억에 남는건 비욘세 노래 뿐 ♥?
15911167,라이온 킹,10,어떤것이든 원작을 뛰어넘는게 있을까용그저 추억에잠겨서 봤는데 ;_;
15911166,존 윅 3: 파라벨룸,9,"키아누리브스, 할리베리 두 뱀파이어들의 액션을 보는 것만으로도 볼만했다."
15911165,라이온 킹,6,핵노잼입니다 속지마세요
15911164,라이온 킹,10,단연컨데 디즈니 작품중 최고라 할수 있어요. 꼭 영화관에서 보세요!!
15911163,라이온 킹,10,Ost 들을때마다 너~~무좋았어요~!!They live in you 도 틀어주시지ㅜㅜ 배경음악으로 깔리긴했지만요!! 저는 사운드 영상미 다 만족입니다!!
15911162,조디악,10,시간가는줄모르고집중하게만드는 영화. . 입니다. 대단한영화네요.
15911161,비스트,1,보는내내 짜증나고 울화병이 생겨서 보다 말음.
15911160,라이온 킹,10,디즈니의 최고 명작은 라이온 킹
15911159,라이온 킹,10,"개봉 첫날, 재밌게 잘 봤습니다."
15911157,라이온 킹,10,동심이 살아나는 기분..
15911156,라이온 킹,10,굿 재밋어요 또봅니다..
15911154,라이온 킹,9,CG였기에 엄청 예민한사람은 어색함을  느꼈을지도 모르지만 스토리와 동물들의 액션들을 현실적이게 잘 표현을 했다.  절정부분에서는 지팡이가 흠이긴 하나 애니메이션 실사화기 때문에 귀엽게 넘어갈 정도였다. 내게는.
