번호,제목,평점,평가
15888819,콘스탄틴,9,"한번보면 끝까지 보게되는 마성의 영화. 별 다른 메세지는 없는거 같은데 결정적으로 재미가 있다.전반적으로 간지가 나는 멋진 영화이고, cg도 좋다. 배우들 캐스팅도 탁월하고 킬링타임에 최적화된 영화같다."
15888817,악인전,6,"캐릭터들이 매력없었다. 형사도 깡패도 뻔한느낌에 별 매력도 못느끼겠고, 악마는 괴물치고 너무 허술한 느낌. 결말도 딱히 감흥이 없던 그냥그랬던 영화."
15888816,마담 싸이코,7,"역시 악령, 귀신 이런 영화보단 사람이 더 무서움..."
15888815,로미오와 줄리엣,10,핫세도 아름다웠지만 레너드도 충분히 예뻤다 그냥 이 두배우덕분에 영화가 즐거웠고 정말 비극의  어머니로 불릴수있는 영화
15888814,스파이더맨: 파 프롬 홈,6,"딱 이정도가 적당한 평점, 평작에서 조금 더 나은 수준, 엔드게임 이후로 마블은 확실히 내리막이구나... 앞으로는 극장에서 마블영화 보는일은 없으듯..."
15888813,알라딘,10,와.. 인생영화 찾았습니다.
15888811,13년의 공백,7,깨끗한 연출과 잔잔한 분위기가 정말 좋았어요... 무엇보다 연기를 다들 너무 잘함ㄷㄷㄷ
15888810,눈에는 눈 이에는 이,7,평범한 한국 범죄 영화. 볼만했음
15888809,살인마 잭의 집,1,이래 재미없는 것도 고상한척 댓글달면 자기 수준이 올라가나???
15888808,익스트랙티드,10,"이거 평점 생각보다 낮네요?? 숨겨진 명작입니다! 꼭  봐보세요 평점으로 평가 하지 말고요.  내용도 탄탄하고 몰입감도 좋고, 재밌습니다. 강추!"
15888807,애나벨 집으로,4,보다가 자버렷당...
15888806,헬보이,4,헬보이 주인공이 바뀌어서 그런지 시크함이 그냥 싸가지없는걸로 바뀌어버림. 그리고 뿔도 그렇고 소품 티가 너무 많이난다... 밀라요보비치는 이런 3류영화에 나오기 아까움..
15888805,스파이더맨: 파 프롬 홈,10,영화를 가면갈수록 잘만든다..
15888804,스파이더맨: 파 프롬 홈,2,발암 진짜 암걸린다 아이언맨이보고싶다
15888803,스파이더맨: 파 프롬 홈,6,액션과 이야기의 사이즈는 키웠지만  스토리는 허술..
15888802,역모 - 반란의 시대,1,재미없다. 진짜 재미없다. 채널 CGV로 보고 있다.
15888801,맨 인 블랙: 인터내셔널,5,기대했던만큼 실망감이살짝 큰영화
15888800,알라딘,4,노래가 압도적이지도 않고 무엇보다 전개가 억지스럽고 유치함.
15888798,귀신의 향기,4,망삘입니다손절각입니다 믿으세요
15888797,스파이더맨: 파 프롬 홈,10,순진한 피터파커...나중엔 왓더퍼커
15888796,역모 - 반란의 시대,1,(감기) 약 드시고 만든거죠? 어쩜 이리 약 기운이...
